event_id,toa_mjd_bary
B104,59874.861963662726
B105,59874.863113642270
B107,59874.863473635858
B106,59874.864353620193
B108,59874.865273603813
B109,59874.866813576387
B110,59874.867173569968
B111,59874.876633401160
B112,59874.876993394726
B113,59874.877523385250
B114,59874.878063375596
B116,59875.855635370048
B117,59875.855995363243
B120,59875.856945345309
B122,59875.857535334158
B124,59875.858255320556
B128,59875.860055286539
B125,59875.860735273687
B131,59875.862615238126
B132,59875.864995193078
B134,59875.865915175666
B136,59875.866465165251
B135,59875.867065153885
B137,59875.867545144793
B140,59875.868965117887
B138,59875.869905100066
B139,59875.869945099301
B142,59875.870785083374
B145,59875.873185037846
B146,59875.876804969121
B147,59875.877084963802
B148,59875.878364939475
B152,59875.878694933206
B151,59875.879044926558
B153,59875.879504917808
B149,59875.879804912103
B150,59875.879844911338
B155,59875.880394900887
B154,59875.881374882250
B156,59875.881614877682
B157,59875.882834854470
B158,59875.884244827641
B159,59875.884304826497
B160,59875.886834778306
B161,59875.887874758497
B162,59875.890034717318
B163,59875.893634648637
B164,59875.893654648258
B165,59875.896434595168
B167,59876.845216062255
B168,59876.845666053283
B166,59876.845936047896
B170,59876.846106044497
B169,59876.846256041506
B171,59876.846756031533
B172,59876.846836029938
B173,59876.846966027340
B174,59876.847596014770
B175,59876.847656013575
B176,59876.849165983433
B177,59876.849565975441
B179,59876.850445957869
B180,59876.851325940290
B178,59876.851465937500
B181,59876.853435898127
B182,59876.853535896131
B183,59876.854545875940
B184,59876.855945847936
B187,59876.856945827938
B188,59876.857295820933
B185,59876.857895808927
B186,59876.857955807725
B189,59876.858225802316
B190,59876.858725792314
B191,59876.860075765282
B192,59876.861695732834
B194,59876.862225722216
B193,59876.862895708793
B196,59876.863205702582
B197,59876.866595634601
B198,59876.867245621565
B199,59876.867355619361
B200,59876.868125603905
B201,59876.868185602703
B204,59877.851985309302
B205,59877.852725293684
B202,59877.853055286723
B203,59877.853085286093
B208,59877.853235282928
B206,59877.853395279548
B207,59877.853895269000
B209,59877.855195241551
B210,59877.855345238379
B211,59877.855495235213
B212,59877.857355195934
B213,59877.857605190649
B214,59877.858235177344
B215,59877.858745166559
B216,59877.859175157471
B219,59877.859765145004
B220,59877.859915141838
B221,59877.860625126828
B218,59877.860685125554
B222,59877.860945120061
B223,59877.864145052365
B224,59877.864795038608
B225,59877.866235008129
B226,59877.866624999871
B227,59877.867134989065
B229,59877.867254986522
B231,59877.867434982712
B232,59877.867794975085
B230,59877.868614957712
B234,59877.869124946905
B235,59877.869764933348
B233,59877.870034927626
B267,59877.871024906635
B237,59877.872284879923
B236,59877.872824868464
B238,59877.873944844709
B239,59877.875074820731
B240,59877.878164755130
B241,59877.878234753640
B243,59877.878844740684
B244,59877.879834719650
B245,59877.879864719020
B246,59877.879984716463
B249,59877.880664702010
B247,59877.880744700313
B248,59877.881034694146
B250,59877.881414686068
B251,59877.881644681183
B252,59877.882244668428
B253,59877.882314666946
B254,59877.882534662262
B256,59877.883284646312
B257,59877.883314645675
B258,59877.883934632489
B255,59877.884034630362
B261,59877.884254625678
B260,59877.884414622276
B262,59877.884964610574
B263,59877.885264604192
B265,59877.885824592275
B266,59877.886234583551
B264,59877.886974567802
B268,59877.887054566098
B269,59877.888744530108
B270,59877.888804528840
B271,59877.890674489005
B272,59878.841943813612
B273,59878.842473801866
B274,59878.843483779492
B275,59878.843503779048
B276,59878.843513778826
B277,59878.843983768413
B278,59878.844783750683
B279,59878.844903748017
B281,59878.846333716319
B280,59878.847073699901
B282,59878.847553689258
B284,59878.849713641328
B283,59878.850673620022
B285,59878.851093610698
B286,59878.851533600930
B287,59878.852253584941
B289,59878.852533578720
B290,59878.852843571840
B291,59878.852913570285
B292,59878.853063566959
B293,59878.854143542958
B294,59878.855543511847
B296,59878.856453491622
B295,59878.856653487179
B297,59878.857393470724
B298,59878.857523467836
B299,59878.860443402882
B301,59878.860823394432
B302,59878.863433336322
B303,59878.863843327192
B304,59878.863883326303
B306,59878.865053300244
B305,59878.865133298459
B307,59878.867683241631
B308,59878.867873237403
B309,59878.869373203961
B310,59878.869413203065
B311,59879.829301305457
B313,59879.830561276241
B314,59879.830761271602
B315,59879.831401256750
B312,59879.831641251185
B316,59879.832031242142
B317,59879.832141239589
B320,59879.834751179020
B321,59879.835011172981
B322,59879.835361164849
B319,59879.835731156258
B323,59879.836071148362
B324,59879.836441139771
B318,59879.836571136751
B325,59879.837251120960
B326,59879.839031079602
B329,59879.839591066586
B330,59879.840421047295
B331,59879.840431047065
B327,59879.840891036372
B332,59879.841051032650
B334,59879.842690994512
B335,59879.843100984974
B333,59879.843480976138
B336,59879.844080962182
B337,59879.844150960547
B338,59879.844280957528
B339,59879.845520928677
B342,59879.845980917962
B340,59879.846200912849
B341,59879.846620903067
B343,59879.846850897717
B344,59879.847410884679
B345,59879.847770876295
B347,59879.849120844854
B346,59879.849960825282
B348,59879.850350816196
B349,59879.851100798718
B350,59879.851800782402
B351,59879.854810712226
B352,59879.854980708260
B353,59879.855510695903
B354,59879.856120681667
B355,59879.859540601843
B356,59879.861880547185
B357,59879.862320536908
B359,59879.863070519386
B360,59879.863900499979
B362,59879.864930475902
B361,59879.865360465847
B364,59879.865680458373
B363,59879.866250445040
B365,59879.866540438255
B366,59879.868530391708
B367,59879.872990287287
B368,59879.875050239032
B369,59879.875110237626
B370,59879.875130237153
B372,59879.875210235281
B373,59879.877100190977
B374,59879.877710176675
B375,59879.879220141265
B376,59879.879420136567
B377,59879.880280116391
B378,59879.881200094802
B379,59879.882100073686
B380,59879.883780034237
B381,59879.883950030242
B383,59879.884400019677
B385,59881.833512367652
B386,59881.833712362575
B387,59881.834242349112
B388,59881.836792284332
B389,59881.837002279004
B411,59881.837822258160
B390,59881.839772208594
B393,59881.843422115751
B391,59881.843882104040
B394,59881.844252094626
B395,59881.845792055428
B396,59881.847492012144
B397,59881.847562010356
B398,59881.855971795980
B400,59881.857121766632
B399,59881.858071742383
B401,59881.858491731669
B402,59881.858841722729
B403,59881.860441681878
B404,59881.860661676255
B405,59881.864301583257
B406,59881.864921567416
B407,59881.866121536732
B408,59881.866291532388
B409,59881.868971463839
B410,59881.870911414197
B412,59881.872061384754
B413,59881.872331377846
B384,59881.874251328671
B415,59881.874451323551
B416,59881.875511296399
B417,59881.875681292040
B420,59881.879311199002
B419,59881.880021180797
B422,59882.830746408872
B423,59882.831726382945
B421,59882.831796381091
B425,59882.832416364683
B426,59882.832506362305
B424,59882.833166344833
