event_id,toa_mjd_bary
20210927-25,59484.822458408002
20210927-26,59484.822473344000
20210927-27,59484.822537876003
20210927-28,59484.822801050999
20210927-29,59484.822869290001
20210927-30,59484.823328883998
20210927-31,59484.823403208997
20210927-32,59484.823459068997
20210927-33,59484.823493934004
20210927-34,59484.823627247002
20210927-35,59484.824306757000
20210927-36,59484.824332306001
20210927-37,59484.824459033996
20210927-38,59484.824544406998
20210927-39,59484.824574405997
20210927-40,59484.824744026002
20210927-41,59484.825339165996
20210927-42,59484.825637007001
20210927-43,59484.825799077000
20210927-44,59484.825986445998
20210927-45,59484.826334869998
20210927-46,59484.827563516003
20210927-47,59484.827643632001
20210927-48,59484.827753343001
20210927-49,59484.828057885999
20210927-50,59484.828391392002
20210927-51,59484.828754488000
20210927-52,59484.829512923003
20210927-53,59484.829586865002
20210927-54,59484.830313543003
20210927-55,59484.831110354004
20210927-56,59484.831273418997
20210927-57,59484.831341106998
20210927-58,59484.831420182003
20210927-59,59484.831516090999
20210927-60,59484.832031888996
20210927-61,59484.832582513001
20210927-62,59484.832700655999
20210927-63,59484.832719525002
20210927-64,59484.832765708998
20210927-65,59484.833171156999
20210927-66,59484.833414706998
20210927-67,59484.833545371999
20210927-68,59484.833732945997
20210927-69,59484.833754995998
20210927-70,59484.833758963003
20210927-71,59484.833909587003
20210927-72,59484.833991419000
20210927-73,59484.834833774003
20210927-74,59484.835442317999
20210927-75,59484.835572557997
20210927-76,59484.835923715997
20210927-77,59484.836037718997
20210927-78,59484.836294424000
20210927-79,59484.836619389003
20210927-80,59484.836880547999
20210927-81,59484.836963799004
20210927-82,59484.837013621000
20210927-83,59484.837020255000
20210927-84,59484.837203668001
20210927-85,59484.837209240999
20210927-86,59484.837499490997
20210927-87,59484.837585481997
20210927-88,59484.837651405003
20210927-89,59484.837734893998
20210927-90,59484.837741078998
20210927-91,59484.837967116000
20210927-92,59484.838220833997
20210927-93,59484.839477497000
20210927-94,59484.839510099999
20210927-95,59484.839831181002
20210927-96,59484.839943580002
20210927-97,59484.839948874003
20210927-98,59484.840232085997
20210927-99,59484.840582381003
20210927-100,59484.841029055999
20210927-101,59484.841384059000
20210927-102,59484.841419491997
20210927-103,59484.841443120000
20210927-104,59484.841528716999
20210927-105,59484.841678151002
20210927-106,59484.841954247997
20210927-107,59484.842362866002
20210927-108,59484.842377041001
20210927-109,59484.842407242002
20210927-110,59484.842480225001
20210927-111,59484.842674025000
20210927-112,59484.842731653000
20210927-113,59484.842787661997
20210927-114,59484.843002135000
20210927-115,59484.843021464003
20210927-116,59484.843311518001
20210927-117,59484.843565381998
20210927-118,59484.843766778002
20210927-119,59484.843812685998
20210927-120,59484.844035451999
20210927-121,59484.844392822000
20210927-122,59484.844620951997
20210927-123,59484.844804120003
20210927-124,59484.844866831998
20210927-125,59484.845020849003
20210927-126,59484.845093483003
20210927-127,59484.845148615997
20210927-128,59484.845225215999
20210927-129,59484.845237971997
20210927-130,59484.845445280997
20210927-131,59484.845702742998
20210927-132,59484.845855708998
20210927-133,59484.846218200000
20210927-134,59484.846306822998
20210927-135,59484.846801366999
20210927-136,59484.847013516002
20210927-137,59484.847216526003
20210927-138,59484.847696482997
20210927-139,59484.847843928001
20210927-140,59484.848032750000
20210927-141,59484.848645847997
20210927-142,59484.848697415997
20210927-143,59484.848743506998
20210927-144,59484.848922334997
20210927-145,59484.849412055999
20210927-146,59484.849756705000
20210927-147,59484.850246786002
20210927-148,59484.850254215002
20210927-149,59484.850281136998
20210927-150,59484.850304651998
20210927-151,59484.850373244000
20210927-152,59484.850811545999
20210927-153,59484.851114302000
20210927-154,59484.851287177000
20210927-155,59484.851337870001
20210927-156,59484.851518071002
20210927-157,59484.851976872997
20210927-158,59484.852651695001
