event_id,toa_mjd_bary
B00828,60375.176064799998
B00829,60375.176081147001
B00830,60375.176114927002
B00831,60375.176117561998
B00832,60375.176262970002
B00833,60375.176299065999
B00836,60375.176377602002
B00838,60375.176474430002
B00840,60375.176558601001
B00841,60375.176560608001
B00842,60375.176631693997
B00844,60375.176807714000
B00845,60375.176907472996
B00847,60375.176916520999
B00848,60375.177124339003
B00849,60375.177168668997
B00851,60375.177179683000
B00853,60375.177248225002
B00856,60375.177528253997
B00857,60375.177529806002
B00858,60375.177928195000
B00860,60375.178253427999
B00861,60375.178429011001
B00862,60375.178443759003
B00864,60375.178520791000
B00865,60375.178522110997
B00866,60375.178524887997
B00867,60375.178543916001
B00868,60375.178561075001
B00869,60375.178719504001
B00871,60375.178741700001
B00872,60375.178785541997
B00873,60375.178908412003
B00874,60375.178913686999
B00875,60375.178945619002
B00876,60375.178959104000
B00877,60375.179284427002
B00878,60375.179296875001
B00879,60375.179388090997
B00880,60375.179580199001
B00881,60375.179660011003
B00882,60375.179751586002
B00883,60375.179772185002
B00884,60375.179775297998
B00885,60375.179863684003
B00886,60375.179866314000
B00887,60375.179894772999
B00888,60375.180047668000
B00889,60375.180112208000
B00892,60375.180145901999
B00894,60375.180206382996
B00895,60375.180429777000
B00896,60375.180484028002
B00897,60375.180984384002
B00898,60375.181139371998
B00899,60375.181223915999
B00900,60375.181225259003
B00901,60375.181293663998
B00902,60375.181361650000
B00903,60375.181520507002
B00904,60375.181538203004
B00905,60375.181540063997
B00906,60375.181662278002
B00907,60375.181663912001
B00908,60375.181741597997
B00909,60375.181845293999
B00910,60375.182035600003
B00911,60375.182089132002
B00912,60375.182095958997
B00914,60375.182215770998
B00915,60375.182371117997
B00916,60375.182433333997
B00918,60375.182515802997
B00919,60375.182598680003
B00920,60375.182625724003
B00921,60375.183050610998
B00922,60375.183063687000
B00925,60375.183089418999
B00926,60375.183803346001
B00927,60375.183825783999
B00928,60375.184027673000
B00929,60375.184171993998
B00930,60375.184197759001
B00932,60375.184435898002
B00933,60375.184500508003
B00934,60375.184643811997
B00935,60375.184727227999
B00936,60375.184736725998
B00937,60375.184761803997
B00938,60375.184799588002
B00939,60375.184970365000
B00940,60375.185039950004
B00941,60375.185222813998
B00942,60375.185338773001
B00944,60375.185351428001
B00947,60375.185375440000
B00948,60375.185409856997
B00950,60375.185432999999
B00952,60375.185686564000
B00954,60375.185718449997
B00955,60375.185863985003
B00956,60375.185870570996
