mjd_start_bary,mjd_end_bary
59906.413982252787,59906.538912302218
59906.527117816637,59907.024732135011
59906.538960116923,59906.663166456441
59906.663321429398,59906.787679164423
59906.774281702412,59907.025565471260
59907.429301506789,59907.553536607302
59907.524996760796,59908.022622338111
59907.553691094756,59907.677754330361
59907.677779491692,59907.802010340492
59907.767288008268,59907.952845743384
59908.274575609568,59908.398579761066
59908.398591977639,59908.522793647011
59908.522168933225,59909.019770895335
59908.667572128506,59908.792945014131
59908.760293537118,59909.046308940495
59908.792958484722,59908.922864578170
59908.922874084426,59909.048687939168
59909.048701005246,59909.173118933177
59909.173127144975,59909.297155434077
59909.297175417494,59909.421353224912
59909.421364915586,59909.546880542664
59909.519351908071,59910.016872517386
59909.546888188153,59909.554337635222
59909.564233271303,59909.688007844212
59909.688018078639,59909.812368222862
59909.760242391232,59910.037565883744
59909.812377041424,59909.936692772331
59910.283905482429,59910.410858944750
59910.410869543237,59910.419553748776
59910.516522555095,59910.845891948506
59910.531900379094,59910.656088332631
59910.660794261392,59910.788804482931
59910.788822120085,59910.912944973999
59910.912953792569,59911.039400779075
59911.513669317908,59912.011281366606
59911.527058276450,59911.651921004057
59911.651938600742,59911.776169569333
59911.753205351190,59911.993724839951
59911.776192869795,59911.900469640212
59911.900510901389,59912.017553767611
59912.492665866434,59912.623440396521
59912.498871569071,59912.706754011604
59912.510838507682,59913.008450203590
59912.623481657727,59912.747631000617
59912.747646453332,59912.871953367525
59912.753140425499,59913.030463331743
59912.872009151004,59913.010848188380
59913.492608038257,59913.627204678392
59913.508018568187,59914.005639583818
59913.627234127540,59913.751766583853
59913.751792796807,59913.876688442047
59913.773930140916,59914.033881114723
59913.876733222496,59914.013496727224
59914.492558765123,59914.626621871219
59914.515752925588,59915.002785812416
59914.626678827808,59914.750986204221
59914.773863813352,59915.033826184430
59914.818871440228,59914.943415316920
59914.943478786212,59915.010182252874
59915.502353502925,59915.999952618527
59915.742571711846,59916.019894060249
59916.499508411347,59916.845044118643
59916.901884941013,59917.032827004179
59917.032836389059,59917.159179668677
59917.159189255777,59917.283451321098
59917.293326956933,59917.398654604127
59917.398669814094,59917.545499620705
59917.496697405637,59917.994305556254
59917.545508115632,59917.670406129473
59917.670412642234,59917.795175442247
59917.752875046361,59918.030185451833
59917.795183896698,59917.919476375224
59917.919488187210,59918.043798710896
59918.493851062085,59918.991564877266
59918.678027389629,59918.839224677089
59918.742390099120,59918.991600100591
59919.628718822052,59919.732889824118
59919.732915470668,59919.836252708898
59920.534877438076,59920.659735749774
59920.659772601495,59920.783918856228
59920.724913622587,59921.002235135049
59920.783969987475,59920.907798749962
59920.907807649368,59920.992183585251
59921.471315341951,59921.595756462077
59921.495898151181,59921.982940546484
59921.595762327612,59921.719975089756
59921.719989814257,59921.844291825946
59921.844304082857,59921.988741048750
59922.482506141299,59922.980124442816
59922.717850961773,59923.012543805336
59923.460785466414,59923.585125891201
59923.480362938273,59923.977980979042
59923.585401328193,59923.711719845072
59923.711729836672,59923.835819224463
59923.721262854444,59923.963863816840
59923.835836133338,59923.988748984964
59924.477536388942,59924.865427136952
59924.499929883517,59924.628413274841
59924.628421527043,59924.772518382160
59924.772523924039,59924.896924899069
59924.896934890661,59925.016520120545
59925.353912571241,59925.479447419413
59925.474686193855,59925.972303741044
59925.479454498483,59925.605503803519
59925.605513795104,59925.732229854955
59925.721141083988,59925.989781812197
59925.732245186198,59925.857306494603
59925.857348968995,59925.982230542722
59926.471847090630,59926.969452268691
59926.721079470168,59926.963691641133
59927.469007523650,59927.966624612563
59927.710601377948,59927.979253470323
59928.466167510851,59928.963784384134
59928.738314893722,59928.980926845688
59929.463338643807,59929.960943737307
59929.710475922839,59929.979127785366
59930.460474647625,59930.864476352559
59930.888647841362,59931.014834881629
59931.013663602025,59931.138876579702
59931.137486900894,59931.259997507674
59931.457656554558,59931.955261263436
59931.699944414882,59931.959892939143
59932.454803370376,59932.952419474786
59932.699880315777,59932.977188729645
59933.451961408056,59933.949556107502
59933.696332297353,59933.947612225689
59934.554679456116,59934.863952880631
59934.613730721598,59934.642729538486
59934.643075238746,59934.767074604300
59934.767104862149,59934.900557804205
59934.900580538029,59934.931142742389
59935.446264936669,59935.943892141826
59935.623601611180,59935.750409468106
59935.692730445568,59935.978730154689
59935.750437541545,59935.874745220623
59935.874755980753,59935.971900870478
59936.443422042743,59936.941027874433
59936.689204657865,59936.966512735075
59937.440602027571,59937.938184587183
59938.437758619781,59938.935341064942
59939.435609387023,59939.933191727832
59940.432753979934,59940.930347801514
59941.429909965984,59941.884589922476
59942.427077366548,59942.924659461707
59943.424233056096,59943.921826663682
59944.421388628682,59944.918970612336
59947.593398379249,59947.909846502647
59948.410010155683,59948.907592037125
59949.401043190599,59949.525215374000
59949.407153873159,59949.904747327069
