row_index,Telescope,obs_code,mjd_start,mjd_end,bandwidth,cent_f,low_c_l,high_c_h,rec_time_s,rec_time_m,rec_time_h,rec_time_d
218,stk,r117_59902_169,59902.062540357,59902.189663974816,98.4375,1381.46484375,1332.24609375,1430.68359375,10983.480579173192,183.05800965288654,3.050966827548109,0.12712361781450454
219,stk,r117_59902_170,59902.18967222747,59902.31395631607,98.4375,1381.46484375,1332.24609375,1430.68359375,10738.145255413838,178.96908759023063,2.982818126503844,0.12428408860432683
220,stk,r117_59902_171,59902.31396626782,59902.438816514616,98.4375,1381.46484375,1332.24609375,1430.68359375,10787.0613229461,179.784355382435,2.9964059230405833,0.12485024679335763
221,stk,r117_59902_172,59902.50145040253,59902.625800998,98.4375,1381.46484375,1332.24609375,1430.68359375,10743.891448597424,179.06485747662373,2.984414291277062,0.12435059546987759
222,wb,p11711,59902.53484953704,59903.03248796148,64.0,332.0,300.0,364.0,41205.37855052389,686.7563091753982,11.445938486256637,0.47691410359402653
223,stk,r117_59902_173,59902.62582567514,59902.750095159696,98.4375,1381.46484375,1332.24609375,1430.68359375,10736.88346571289,178.9480577618815,2.9824676293646917,0.12426948455686215
224,tr,f22c09,59902.81258101852,59903.06596063418,128.0,4664.0,4600.0,4728.0,20826.947826775722,347.1157971129287,5.785263285215478,0.24105263688397827
225,stk,r117_59902_174,59902.90277680615,59903.055569499724,98.4375,1381.46484375,1332.24609375,1430.68359375,13201.288724807093,220.02147874678488,3.667024645779748,0.15279269357415617
226,stk,r117_59903_175,59903.055580705535,59903.17998364892,98.4375,1381.46484375,1332.24609375,1430.68359375,10748.414308670908,179.14023847784847,2.9856706412974745,0.12440294338739477
227,stk,r117_59903_176,59903.179992993864,59903.306248866495,98.4375,1381.46484375,1332.24609375,1430.68359375,10908.507395884952,181.80845659808253,3.0301409433013755,0.1262558726375573
228,stk,r117_59903_177,59903.30626104321,59903.404551693304,98.4375,1381.46484375,1332.24609375,1430.68359375,8492.312168120407,141.5385361353401,2.3589756022556685,0.09829065009398619
